<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.08.11	56816	56816	55568	55761	232505	4093283787	0
2009.08.12	55761	56696	55714	56588	278413	4478444763	0
2009.08.13	56588	57367	56533	57048	252015	4259663320	0
2009.08.14	57048	57190	55979	56638	242833	4282898456	0
2009.08.17	56636	56636	54881	55218	223597	3820465381	0
2009.08.18	55219	55891	55216	55749	186972	3209921938	0
2009.08.19	55748	56212	54918	56156	200179	3518188454	0
2009.08.20	56173	56897	56143	56831	180072	3120760558	0
2009.08.21	56836	57782	56836	57729	210918	3804406142	0
2009.08.24	57731	58634	57698	57775	192004	4056342401	0
2009.08.25	57778	58311	57401	57421	201111	3635233583	0
2009.08.26	57425	57791	57106	57766	170643	3668322432	0
2009.08.27	57769	57878	56845	57704	182421	3695536508	0
2009.08.28	57704	58136	57344	57701	160471	3476941152	0
2009.08.31	57698	57698	56170	56489	200572	4384663461	0
2009.09.01	56489	57002	55764	55815	225576	4102657757	0
2009.09.02	55813	55948	55386	55386	249265	4256844108	0
2009.09.03	55389	55888	55339	55707	180839	3131548030	0
2009.09.04	55707	56729	55656	56652	183358	3032134796	0
2009.09.08	56655	57855	56655	57855	214062	3409689312	0
2009.09.09	57844	58089	57534	57910	198020	3277153816	0
2009.09.10	57908	58538	57615	58536	207619	3630760481	0
2009.09.11	58537	58834	58145	58366	172316	2926032567	0
2009.09.14	58363	58868	57753	58868	166071	2764646754	0
2009.09.15	58868	59401	58691	59264	187914	3278891436	0
2009.09.16	59265	60526	59265	60411	277413	4995110422	0
2009.09.17	60409	61027	60116	60236	220875	4688299880	0
2009.09.18	60236	60710	60158	60703	167901	3792293428	0
2009.09.21	60703	61066	60014	60928	179370	3983500835	0
2009.09.22	60938	62017	60938	61493	216416	4292096073	0
2009.09.23	61489	61630	60478	60496	204757	4271357540	0
2009.09.24	60496	60978	59600	60046	211469	3778770025	0
2009.09.25	60045	60472	59755	60356	152765	2653271051	0
2009.09.28	60357	61317	60357	61317	152692	2651161254	0
2009.09.29	61316	61599	60750	61235	176977	3362478612	0
2009.09.30	61241	61926	60978	61518	226546	4511855389	0
2009.10.01	61519	61519	60306	60459	221834	3951552882	0
2009.10.02	60453	61333	59678	61172	259996	4940373205	0
2009.10.05	61178	62460	61178	62369	187985	3786428532	0
2009.10.06	62378	63291	62002	62671	272756	4779836649	0
2009.10.07	62666	63015	62104	62638	224146	4264409631	0
2009.10.08	62640	63816	62640	63760	245294	5018365102	0
2009.10.09	63772	64177	63493	64068	188377	3219911609	0
2009.10.13	64075	64646	63967	64646	211953	3431919717	0
